City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
plettenberg bay,55,ZA,1588213369,46,-34.05,23.37,17.08,2.31
ponta do sol,20,PT,1588213369,72,32.67,-17.1,17.0,2.6
new norfolk,97,AU,1588213369,78,-42.78,147.06,14.44,0.89
vaini,75,TO,1588213369,74,-21.2,-175.2,26.0,6.2
punta arenas,100,CL,1588213135,86,-53.15,-70.92,5.0,2.6
singaraja,61,ID,1588213369,59,-8.11,115.09,29.98,0.86
east london,0,ZA,1588213369,72,-33.02,27.91,16.08,3.33
ribeira grande,100,PT,1588213369,92,38.52,-28.7,17.87,8.93
porto belo,86,BR,1588213369,75,-27.16,-48.55,22.22,1.56
gornyy,0,RU,1588213370,63,55.12,83.91,13.52,5.34
pevek,54,RU,1588213370,94,69.7,170.31,-6.37,6.32
rikitea,83,PF,1588213370,84,-23.12,-134.97,26.32,5.65
nikolskoye,0,RU,1588213370,74,59.7,30.79,1.11,2.0
gisborne,0,NZ,1588213370,51,-38.65,178.0,21.11,2.24
hamilton,1,US,1588213079,87,39.18,-84.53,12.78,5.7
touros,75,BR,1588213370,100,-5.2,-35.46,24.0,1.5
jamestown,90,US,1588213371,67,42.1,-79.24,17.0,7.7
ganzhou,100,CN,1588213371,47,28.82,115.43,27.83,2.73
hvittingfoss,88,NO,1588213371,19,59.48,10.02,3.89,1.48
cidreira,11,BR,1588213371,78,-30.18,-50.21,18.43,2.81
kapaa,40,US,1588213163,78,22.08,-159.32,26.0,9.8
mindelo,40,CV,1588213371,78,16.89,-24.98,22.0,13.4
thompson,40,CA,1588213372,49,55.74,-97.86,9.0,5.1
sao miguel,75,BR,1588213372,100,-5.47,-35.37,24.0,1.5
puerto baquerizo moreno,5,EC,1588213372,83,-0.9,-89.6,24.73,4.22
kongolo,96,CD,1588213372,81,-5.38,27.0,21.97,1.27
souillac,75,MU,1588213372,83,-20.52,57.52,23.0,5.1
abrau-dyurso,20,RU,1588213372,74,44.69,37.59,3.0,2.0
upernavik,100,GL,1588213372,82,72.79,-56.15,-5.71,3.42
port elizabeth,0,ZA,1588213269,93,-33.92,25.57,9.0,1.0
itaqui,20,BR,1588213372,56,-29.13,-56.55,15.73,3.4
qasigiannguit,0,GL,1588213373,45,68.82,-51.19,-3.0,2.1
nanortalik,0,GL,1588213373,88,60.14,-45.24,1.48,4.22
avarua,68,CK,1588213373,69,-21.21,-159.78,26.0,2.1
tiksi,100,RU,1588213373,96,71.69,128.87,-8.51,4.48
labuan,75,MY,1588213373,66,5.28,115.24,31.0,1.5
mataura,99,NZ,1588213373,64,-46.19,168.86,16.67,4.92
south yuba city,1,US,1588213373,44,39.12,-121.64,26.0,6.2
